2025-12-26T11:11:32.513Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T11:11:46.768Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T11:12:58.223Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T11:13:21.832Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T11:13:57.573Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T11:15:05.924Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T11:15:22.547Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T11:15:22.720Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T11:16:02.474Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T11:16:22.300Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T11:19:45.120Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T11:21:54.261Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T11:22:47.031Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
